Neh‚zs‚g;K‚rd‚s;A;B;C;D;V lasz;Kateg¢ria
3;Mivel j tssz k a r”mi nevû j t‚kot?;domin¢val;sakkfigur kkal;francia k rty val;magyar k rty val;C;JµTK
4;Melyik v rosban tal lhat¢ a Bibli ban is szerepl‹ Getszem ni kert?;Jeruzs lemben;Betlehemben;Jerik¢ban;N z retben;A;VALLµS
5;Minek a reformj val foglalkozott a Ratio Educationis?;l¢teny‚szt‚s;kereskedelem;oktat s;hadsereg;C;T™RTNELEM
6;Milyen rovarr¢l ¡rt zenemûvet Rimszkij-Korszakov?;sz£nyog;hangya;bolha;dong¢;D;OPERA
7;Milyen eredetû sz¢ a fjord?;angol;finn;holland;norv‚g;D;NYELV
8;Ki kalauzolja Dant‚t a Pokol bugyrain  t az Isteni sz¡nj t‚kban?;Ovidius;Catullus;Vergilius;Seneca;C;IRODALOM
9;Mit hozott l‚tre Tessedik S muel Szarvason?;vadrezerv tumot;tan¡t¢k‚pz‹ egyetemet;doh nygy rat;mez‹gazdas gi iskol t;D;MAGYARORSZµG
1;Melyik a cip‹ felh£z s t megk”nny¡t‹ eszk”z?;cip‹villa;cip‹k‚s;cip‹oll¢;cip‹kan l;D;µLTALµNOS
2;Milyen d¡t‹italt k‚sz¡tenek gym”lcsb‹l ‚s tejb‹l?;kokt‚lt;turmixot;cs j t;krampampulit;B;KONYHA
3;"Milyen ""t rgya"" van Pandor nak a mitol¢giai t”rt‚netben?";tariszny ja;szelenc‚je;talizm nja;szekerc‚je;B;VALLµS
4;Milyen eredetû fegyver a katyusa?;n‚met;szovjet;angol;amerikai;B;T™RTNELEM
5;Minek az eleme a szarufa?;ajt¢tok;tet‹szerkezet;parketta;ablaksz rny;B;PÖTSZET
6;Melyik v ros l tv nyoss ga a San Siro nevû stadion?;Madrid;Barcelona;R¢ma;Mil n¢;D;SPORT
7;Ki rendezte a Vakvag nyok c¡mû magyar filmet?;Jancs¢ Mikl¢s;T¡m r P‚ter;Bacs¢ P‚ter;Makk K roly;B;FILM
8;Hogy h¡vt k M¢zes b tyj t?;µbel;µron;B l m;Saul;B;VALLµS
9;Milyen  llat Csucsundra A dzsungel k”nyv‚ben?;hi‚na;v¡zisikl¢;majom;p‚zsmapatk ny;D;IRODALOM
1;"Melyik j rmû volt r‚gen ""ekh¢s""?";g‹zhaj¢;szek‚r;mozdony;l‚ghaj¢;B;TECHNIKA
2;Milyen hollandir¢l ¡rt oper t Wagner?;facip‹s;elt‚vedt;tulip nos;bolyg¢;D;OPERA
3;Minek a tartoz‚ka volt a Toldi Mikl¢s v ll n is reng‹ vend‚goldal?;szek‚r;g‚mesk£t;ist ll¢;eke;A;µLTALµNOS
4;Hol j tsz¢dik a Sz ll a kakukk f‚szk‚re c¡mû film?;mad rh zban;elmegy¢gyint‚zetben;erd‹ben;b”rt”nben;B;FILM
5;Mi Drezda foly¢ja?;Rajna;Spree;Elba;Odera;C;F™LDRAJZ
1;Melyik egy sert‚sh£sfajta elnevez‚se?;puffad¢;duzzad¢;dagad¢;puffog¢;C;KONYHA
2;Hogy nevezik egy  rver‚sen az indul¢, legalacsonyabb  rat?;minim l  r;kihirdet‚si  r;kiki lt si  r;rajt  r;C;µLTALµNOS
3;Ki ny£jtott Oscar-d¡jjal jutalmazott alak¡t st a Kramer kontra Kramer c¡mû filmben?;Al Pacino;Robert DeNiro;Dustin Hoffman;Richard Burton;C;FILM
4;Mi a rangja Maric nak K lm n Imre operettj‚ben?;gr¢fn‹;hercegn‹;b r¢n‹;kir lyn‹;A;OPERA
5;Mit javasol Hamlet Opheli nak az Arany J nos-f‚le ford¡t sban?;im dkozzon t”bbsz‹r;legyen cs b¡t¢bb;k”lt”zz”n haza anyj hoz;vonuljon kolostorba;D;IRODALOM
6;Melyik v ros lett a n‚vad¢ja 1968-ban egy amerikai zenekarnak?;Atlanta;Boston;Chicago;Detroit;C;ZENE
7;Melyik film £jrafeldolgoz s ban j tszik Kern Andr s ‚s Bajor Imre?;Hippolyt, a lak j;Meseaut¢;Hal los tavasz;Lila  k c;B;FILM
8;Hogy nevezik a keny‚r rosszul slt, ragacsos r‚sz‚t?;hurka;kolb sz;szalonna;m¢csing;C;KONYHA
1;Melyikre k¡v ncsi, aki derbit n‚z?;l¢versenyre;ag rfuttat sra;kakasviadalra;sk¢t dudaversenyre;A;µLTALµNOS
2;Hogy nevezik a lekasz lt ‚s megsz r¡tott fvet?;szalma;sz‚na;sz lka;sarj£;B;µLTALµNOS
3;Milyen szerepet j tszik Robin Williams a J¢ reggelt, Vietnam! c¡mû filmben?;lemezlovast;t bori lelk‚szt;orvost;diplomat t;A;FILM
4;"Eg‚sz¡tse ki Umberto Eco vil gh¡rû krimij‚nek a c¡m‚t! ""A r¢zsa ?""";illata;t”vise;sz¡ne;neve;D;IRODALOM
5;Melyik nem s¡kidom az al bbiak k”zl?;trap‚z;rombusz;has b;deltoid;C;TUDOMµNY
6;Melyik orsz g f‹v rosa Rabat?;Nep l;Marokk¢;Angola;Peru;B;ORSZµGOK
7;Mi a Divina Commedia magyar c¡me?;T‚ved‚sek v¡gj t‚ka;Isteni sz¡nj t‚k;J t‚k a kast‚lyban;Az ember trag‚di ja;B;IRODALOM
8;Kinek a nev‚hez fûz‹dik az ‹sis‚g t”rv‚ny‚nek kibocs t sa?;K roly R¢bert;K”nyves K lm n;Nagy Lajos;M ria Ter‚zia;C;T™RTNELEM
9;Melyik sport g nem szerepel a triatlonban?;£sz s;fut s;ker‚kp roz s;l”v‚szet;D;SPORT
10;Mit jelent magyarul Mozart: Cosi fan tutte oper j nak c¡me?;Mind ¡gy csin lj k;A v‚ge mindig j¢;L‚gy hû magadhoz!;A gonosz v‚gl p¢rul j r;A;OPERA
1;Hogy nevezik a v‹leg‚ny n‹sl‚s el‹tti, bar taival tartott mulats g t?;le nyv s r;leg‚nyb£cs£;any¢sv r¢;bikaviadal;B;µLTALµNOS
2;Melyik az USA ûrkutat si tev‚kenys‚g‚t ir ny¡t¢ hat¢s g nev‚nek r”vid¡t‚se?;CNN;RTL;NBA;NASA;D;µLTALµNOS
3;Mire haszn lj k a keleti n‚pek a kaft nt?;l¢szersz mk‚nt;fejfed‹k‚nt;v¡zipipak‚nt;kab tk‚nt;D;T™RTNELEM
4;Mi a c¡me a Dustin Hoffman f‹szerepl‚s‚vel k‚szlt filmv¡gj t‚knak?;K‚kharisnya;Cicam¢kus;Cukorbaba;Aranyosk m;D;FILM
5;Melyik n”v‚ny tartozik a nyitvaterm‹k k”z‚?;jegenyefeny‹;kocs nyos t”lgy;gy”ngyvir g;cukorn d;A;BIOLàGIA
6;Melyik mû h‹se Pierre Bezuhov?;A f‚lkegyelmû;Feljegyz‚sek az eg‚rlyukb¢l;H bor£ ‚s b‚ke;Egy ‹rlt napl¢ja;C;IRODALOM
7;Melyik magyar labdar£g¢ klub klasszis j t‚kosa volt k”zel m sf‚l ‚vtizedig M‚sz”ly K lm n?;FTC;Vasas;Bp. Honv‚d;éjpesti D¢zsa;B;SPORT
8;Melyik fantasztikus film zeneszerz‹je Vangelis?;Csillagok h bor£ja;Sz rnyas fejvad sz;Az ”t”dik elem;Balj¢s  rnyak;B;FILM
1;Krumpli is, szoknya is lehet ilyen.;rakott;felf£jt;r ntott;ab lt;A;µLTALµNOS
2;Melyiket csin lja a bor sz, amikor fokol?;hord¢t csapol;bor szesztartalm t m‚ri;sz‹l‹t szemez;pince h‹m‚rs‚klet‚t m‚ri;B;µLTALµNOS
3;Ki nem rendez‹ az ismert mûv‚szek k”zl?;Szinet r Mikl¢s;Babarczy L szl¢;Szikora J nos;Cseh Tam s;D;SZÖNHµZ
4;Minek a fantomja a h¡res filmh‹s Belph‚gor?;Big Ben;Tower;Bastille;Louvre;D;FILM
5;Kit neveztek r‚gen jur tusnak?;a juh szbojt rt;a joggyakornokot;a r‚g‚szt;az ‚p¡t‚szt;B;NYELV
6;Milyen n”v‚nyt hozott No‚nak a galamb a Bibli ban?;sz‹l‹vessz‹t;olaj gat;p lmalevelet;fgefalevelet;B;VALLµS
7;Ki ki ltotta ki 1989. okt¢ber 23- n a Magyar K”zt rsas got?;G”ncz µrp d;Szûr”s M ty s;Pozsgay Imre;Szabad Gy”rgy;B;T™RTNELEM
8;Ki volt Argosz, akinek nev‚b‹l az  rgus szavunk ered?;egyszemû ¢ri s;sz zszemû sz”rny;az aranygyapj£ ‹rz‹je;az alvil g ‹re;B;VALLµS
1;Melyik egy birsalm b¢l k‚sz¡tett kocsony s ‚dess‚g?;birsalmavaj;birsalmat£r¢;birsalmasajt;felf£jt;C;KONYHA
2;Ki nem n‹rokon?;meny; ngy;napa;ipa;D;µLTALµNOS
3;Melyik budapesti hidat d¡sz¡tik turulmadarak?;Margit h¡d;µrp d h¡d;Szabads g h¡d;Pet‹fi h¡d;C;µLTALµNOS
4;Kinek a le nya volt Pallasz Ath‚n‚ a mitol¢gi ban?;Odsszeusz;Zeusz;Herkules;Prom‚theusz;B;VALLµS
5;Milyen sof‹rt j tszott Robert De Niro Scorsese vil gh¡rû filmj‚nek c¡mszerepl‹jek‚nt?;kamion;taxi;aut¢busz;teheraut¢;B;FILM
6;Minek a kincs‚r‹l sz¢l Karl May ismert reg‚nye?;az ”reg seriff;a mohik n t”rzs;a medvebarlang;az Ezst-t¢;D;IRODALOM
7;"Az al bbiak k”zl ki nem tartozott az £n. ""nagy pr¢f‚t k"" k”z‚?";Jeremi s;zsai s;M¢zes;D niel;C;VALLµS
1;Melyik egy h£s‚tel elnevez‚se?;p nc‚los;rost‚lyos;buzog nyos;sisakos;B;KONYHA
2;Melyik egyttes tagjai j tszott k a Help! c¡mû film f‹szerep‚t?;Chicago;Beatles;Metallica;Police;B;ZENE
3;Melyik r‚sz‚‚rt termesztik a ricinust?;olajos magv ‚rt;rostos sz r ‚rt;ehet‹ vir gzat ‚rt;h£sos gym”lcs‚‚rt;A;BIOLàGIA
4;H ny Nobel-d¡j  tad son vett r‚szt az alap¡t¢, Alfred Nobel?;csak az els‹n;”t”n;tizen;egyen sem;D;TUDOMµNY
5;Melyik spanyol v ros nevezetess‚ge az Alhambra?;Sevilla;Madrid;Cordoba;Granada;D;ORSZµGOK
6;Az  llatok melyik rendj‚be tartoznak a narv lok?;krokodilok;tekn‹s”k;cetek;td‹s halak;C;BIOLàGIA
7;Ki ¡rta az ”reg n‚ne ‹zik‚j‚r‹l sz¢l¢ verses mes‚t?;Nemes Nagy µgnes;Fazekas Anna;Zelk Zolt n;Kormos Istv n;B;IRODALOM
8;Hol tal lhat¢ Borobudur, a vil g legnagyobb buddhista templomegyttese?;India;Indon‚zia;Thaif”ld;Sri Lanka;B;VALLµS
1;Mit csin l  lland¢an az, aki folyton nassol?;v s rol;eszeget;‚nekel;torn zik;B;µLTALµNOS
2;Melyiket nevezik  rval nyhajnak?;a v‚kony c‚rn t;a p¢kh l¢t;egy n”v‚nynemzets‚get;a par¢k t;C;µLTALµNOS
3;Milyen kert szerepel Csehov sz¡nmûv‚nek c¡m‚ben?;alm s;sz‹l‹s;csereszny‚s;geszteny‚s;C;IRODALOM
4;Melyik a stukk¢k‚sz¡t‚s egyik alapanyaga az al bbiak k”zl?;feny‹fa;vas;gipsz;r‚z;C;PÖTSZET
5;Hol ‚rzi mag t rosszul, aki klausztrof¢bi s?;magasban;v¡zben;p¢kok k”z”tt;z rt helyeken;D;µLTALµNOS
6;Melyik labdar£g¢ csapat nyerte el legt”bbsz”r a BEK-et?;Real Madrid;Liverpool;Ajax;AC Milan;A;SPORT
7;Kinek az apja volt Hamilcar Barkas?;Dareiosz;Hammurapi;As¢ka;Hannib l;D;T™RTNELEM
8;Ki volt J¢zsef apja az àsz”vets‚g szerint?;No‚;J kob;Izs k;M¢zes;B;VALLµS
9;Ki rendezte az Emberek a havason c¡mû filmet?;F bri Zolt n;B n Frigyes;R‚v‚sz Gy”rgy;Sz‹ts Istv n;D;FILM
1;Mit v s rolt, aki szvettert vett mag nak?;vad szkuty t;ruh t;vitorl s haj¢t;g‚pkocsit;B;µLTALµNOS
2;Miket nevel, aki fikuszokat gyûjt?;d¡szhalakat;r gcs l¢kat;madarakat;d¡szn”v‚nyeket;D;BIOLàGIA
3;Melyikre van szks‚g a v lyog k‚sz¡t‚s‚hez?;agyagos s rra;cementre;m‚szre;homokra;A;µLTALµNOS
4;Ki alak¡tja Obelixet az Asterix ‚s Obelix c¡mû filmben?;Jean-Paul Belmondo;Gerard Depardieu;Claude Brasseur;Philippe Noiret;B;FILM
5;Melyik sport g c¡mad¢ja az LGT egyttes egyik dal nak?;a j‚ghoki;a foci;a sakk;az ”k”lv¡v s;D;ZENE
6;A n‚gytemû, bels‹ ‚g‚sû motor melyik teme a kompresszi¢?;sz¡v s;sûr¡t‚s;munkatem;kipufog s;B;TECHNIKA
7;Melyik olasz v ros labdar£g¢ klubcsapata a Lazio?;Mil n¢;Torino;N poly;R¢ma;D;SPORT
8;Ki alap¡totta a Karinthy Sz¡nh zat?;Karinthy Frigyes;Karinthy M rton;Karinthy Ferenc;Karinthy G bor;B;SZÖNHµZ
9;Melyik mad r tartozik a papag jalak£ak k”z‚ az al bbiak k”zl?;k¢csag;kan ri;kakadu;kenderike;C;BIOLàGIA
10;Ki alap¡totta a h¡res francia sz¡nh zat, a Com‚die Francaise-t?;Nap¢leon;XIV. Lajos;Richelieu b¡boros;Madame de Pompadour;B;SZÖNHµZ
11;Hol v lasztott k kir lly  Szapolyai J nost a magyar rendek 1526 november‚ben?;Bud n;Sz‚kesfeh‚rv ron;Pozsonyban;V radon;B;T™RTNELEM
1;"""Mennyit ‚r"" az ‚rt‚ktelen  ru?";egy krajc rt;egy fabugyell rist sem;egy leped‹t;egy fabatk t sem;D;µLTALµNOS
2;"Hogyan folytat¢dik a mond s? ""Amit veszt a r‚ven, ?""";elveszti ”r”kre;elk”lti az  llam;megnyeri a v mon;visszaig‚nyeli ad¢ban;C;µLTALµNOS
3;Hogy nevezik a v”lgyet, vagy szakad‚kot  t¡vel‹ hidat?;viador;viadukt;pontusz;apszis;B;µLTALµNOS
4;Ki a f‹szerepl‹je a Nicsak, ki besz‚l! c¡mû filmv¡gj t‚knak?;Danny DeVito;Jim Carrey;John Travolta;Tony Curtis;C;FILM
5;"Melyik mûb‹l sz rmazik a sz ll¢ige? ""R‚gi dics‹s‚gnk, hol k‚sel az ‚ji hom lyban?""";Huszt;F”lt madott a tenger;A magyarokhoz;Zal n fut sa;D;IRODALOM
1;"Milyen ""pecsenye"" a r”vidkaraj egyik r‚sze?";r k;szûz;oroszl n;v¡z”nt‹;B;KONYHA
2;Hol j runk, ha a man‚zsban zajl¢ esem‚nyeket figyeljk?;uszod ban;cirkuszban;sportstadionban;parlamentben;B;µLTALµNOS
3;"Kinek a t”rv‚nye? ""Ami elromolhat, az el is romlik.""";Ohm;Newton;Murphy;Eddie Murphy;C;µLTALµNOS
4;Mit vezetnek be, amikor kihirdetik a stat riumot?;£j nemzeti nnepet;r”gt”n¡t‚l‹ b¡r skod st;‚lelmez‚si jegyrendszert; llamos¡t st;B;T™RTNELEM
5;"Melyik k‚miai elem vegyjele a ""Cr""?";kl¢r;kripton;kalcium;kr¢m;D;TUDOMµNY
6;Kinek az alakj ban jelenik meg µd m Az ember trag‚di j ban?;Miltiad‚sz;D‚moszthen‚sz;Drakh¢n;Perikl‚sz;A;IRODALOM
7;If szigete, ahol Dumas h‹se, Edmond Dantes raboskodott, val¢ban l‚tezik. Hol fekszik?;a marseille-i ”b”lben;Korzika k”zel‚ben;Afrika nyugati partjain l;Örorsz g partjain l;A;IRODALOM
8;Kik voltak a k¡nai mandarinok?;hercegi ut¢dok;hivatalnokok;katonatisztek;a d¡szkertek gondoz¢i;B;NYELV
1;"Mi a c¡me Makk K roly filmv¡gj t‚k nak: ""Mese a 12 ?""";kicsi n‚gerr‹l;tal latr¢l;sztahanovist r¢l;bors ”kr”csk‚r‹l;B;FILM
2;Mit csin lnak a keleti n‚pek a pil ffal?;megeszik;fst”l‹nek haszn lj k;zen‚lnek vele;utaznak rajta;A;NYELV
3;Melyik harc szati eszk”z m sik neve a srapnel?;harckocsi;bomb z¢;repeszgr n t;akna;C;TECHNIKA
4;Melyik egy vil gh¡rû Offenbach-eperett c¡me?;Sz‚p Hel‚na;Teh‚nszemû H‚ra;Hatalmas Aphrodit‚;V‚n Eur¢pa;A;OPERA
5;Kinek a kardj hoz hasonl¡tjuk az  lland¢an fenyeget‹ vesz‚lyt?;Lukullusz;Prrosz;Damokl‚sz;Hektor;C;µLTALµNOS
6;Melyik f‚m ”tv”zetei az amalg mok?;higany;cink;vas;nikkel;A;TUDOMµNY
7;Ki j tssza a Mad Max c¡mû film f‹szerep‚t?;Clint Eastwood;Mel Gibson;Sylvester Stallone;Telly Savalas;B;FILM
8;Melyik v rosunkban tal lhat¢ a Csontv ry M£zeum?;Szentendr‚n;P‚csett;Szombathelyen;Gy‹r”tt;B;MAGYARORSZµG
9;Melyik labdar£g¢csapat nem nyert m‚g magyar bajnoks got?;Gy‹ri ETO;V c;Videoton;Dunaferr;C;SPORT
10;Hol mutatt k be el‹sz”r Erkel B nk b n c¡mû oper j t?;az Operah zban;a Pesti Magyar N‚psz¡nh zban;a Nemzeti Sz¡nh zban;a Budai N‚psz¡nh zban;C;OPERA
1;Mit csin l a di k, amikor dolgozat¡r shoz meg nem engedett seg‚deszk”zt haszn l?;cs£zlizik;revolverezik;pusk zik;paritty zik;C;µLTALµNOS
2;Melyik sport gban rendeznek rali versenyt?;aut¢sport;lovagl s;ker‚kp roz s;atl‚tika;A;SPORT
3;Hogyan nevezt‚k az ¢kori g”r”g”k ”nmagukat?;etruszkok;hell‚nek;fr¡gek;kelt k;B;T™RTNELEM
4;Melyik konyhakerti n”v‚nyt termesztik ehet‹ vir gzat ‚rt?;retek;zeller;karfiol;fejes k‚poszta;C;BIOLàGIA
5;Hogy h¡vj k a f‹h‹s szolg l¢j t V”r”smarty Mih ly Csongor ‚s Tnd‚j‚ben?;Balga;Bamba;Sete;Suta;A;IRODALOM
6;"Mit csin l az ""id‹"" Goth r P‚ter h¡res filmj‚nek c¡m‚ben?";rohan;meg ll;elsz ll;eltûnik;B;FILM
7;Az al bbiak k”zl melyik v rosunkban nem tal lhat¢ minaret?;P‚cs;Veszpr‚m;rd;Eger;B;T™RTNELEM
1;Milyen foglalkoz st ûz‹ szem‚ly lehet m‚rlegk‚pes?;fot¢modell;z”lds‚ges;k”nyvel‹;sum¢ birk¢z¢;C;µLTALµNOS
2;Melyiket nevezhetik mortadell nak az al bbiak k”zl?;olasz opera‚nekesn‹t;fagylaltot;felv gottfajt t;evez‹s haj¢t;C;NYELV
3;Mely orsz gok ûrhaj¢sai hajtott k v‚gre az els‹ nemzetk”zi ûrrepl‚st?;USA-Szovjetuni¢;Franciaorsz g-Szovjetuni¢;USA-K¡na;USA-Kanada;A;TUDOMµNY
4;Az al bbiak k”zl melyiket nevezi a jog corpus delictinek?;a v dlottat;az gyv‚det;a bûnjelet;az ¡t‚letet;C;µLTALµNOS
5;Melyik sport gban lehet vez‚rcselt v‚grehajtani?;a labdar£g sban;a j‚gkorongban;asztaliteniszben;a sakkban;D;SPORT
6;Melyik p pa hajtott v‚gre napt rreformot?;XIII. Gergely;VII. Gergely;III. Ince;II. Orb n;A;T™RTNELEM
7;Ki a n‹i f‹szerepl‹je James Cameron Titanic c¡mû filmj‚nek?;Kate Winslet;Gwyneth Paltrow;Angelina Jolie;Winona Ryder;A;FILM
8;Az al bbiak k”zl melyik lehet a jap n cs sz r megnevez‚se ‚s ruhadarab neve is?;kendo;kimon¢;mik d¢;haiku;C;NYELV
9;Melyikr‹l kapta nev‚t a kardig n?;egy norv‚g sz¡n‚szr‹l;egy angol nemesr‹l;egy sk¢t sz”vetfajt r¢l;egy ¡r birkafajt r¢l;B;NYELV
10;Mi lesz a sorsa Javert felgyel‹nek a Nyomorultak v‚g‚n?;lel”vik a barik dokn l;v¡zbe ”li mag t;b”rt”nbe kerl;emigr lni k‚nyszerl;B;IRODALOM
1;Melyik sz¢ jel”l egy sapkat¡pust?;juci;mici;tercsi;fercsi;B;µLTALµNOS
2;Milyen k”nnyeknek nevezik a k‚pmutat¢, nem ‹szinte sajn lkoz s k”nnyeit?;elef nt;mamut;krokodil;b lna;C;µLTALµNOS
3;Mi volt Robin Hood legjellemz‹bb fegyvere?;d rda;¡j;buzog ny;parittya;B;IRODALOM
4;Melyik £sz snemben szerzett arany‚rmet Egerszegi Krisztina az 1996-os atlantai olimpi n?;h t£sz sban;vegyes£sz sban;mell£sz sban;gyors£sz sban;A;SPORT
1;"Mit nem csin lunk ""sose"" Koltai R¢bert filmj‚nek c¡me szerint?";halunk meg;lovizunk;l‚pnk f‚lre;szamb zunk;A;FILM
2;Melyik szervnk”n hordhatunk hidat ‚s koron t?;szem;fl;orr;fog;D;BIOLàGIA
3;Hogyan h¡vjuk a pinc‚rt egy ‚tteremben az illem szerint?;fttyent‚ssel;int‚ssel;csettint‚ssel;sziszeg‚ssel;B;µLTALµNOS
4;Melyik vall s temploma a zsinag¢ga?;katolikus;iszl m;zsid¢;buddhista;C;VALLµS
5;Melyik nem igem¢d a magyar nyelvben?;kijelent‹;felt‚teles;felsz¢l¡t¢;k‚rd‹;D;NYELV
6;Ki volt XV. Lajos francia kir ly h¡res kegyence?;Mme de S‚vign‚;Mme de Pompadour;Mme R‚camier;Mme de Stael;B;T™RTNELEM
7;Milyen mad rr¢l ¡rt balettet Sztravinszkij?;j‚gmad r;tûzmad r;f‹nixmad r;viharmad r;B;MëVSZET
8;Kik szerepelnek egy Drrenmatt-sz¡nmû c¡m‚ben?;botanikusok;fizikusok;k‚mikusok;ornitol¢gusok;B;SZÖNHµZ
9;Ki volt Polph‚mosz?;egyszemû ¢ri s;mil‚toszi filoz¢fus;kr‚tai kir ly;tr¢jai h‹s;A;VALLµS
1;Mi l¢g ki a mond s szerint a feltûn‹en gyan£s helyzetekben?;”k”rszarv;medvemancs;csigacs p;l¢l b;D;µLTALµNOS
2;Milyen m‚rk‹z‚snek nevezik a nemzetek k”zti, t‚t n‚lkli labdar£g¢ tal lkoz¢t?;szel¡d;bar ts gos;ismerked‹;levezet‹;B;SPORT
3;Milyen helyis‚gbe fordult be Pet‹fi, mik”zben szeretett volna r gy£jtani a pip j ra?;kamr ba;konyh ra;kis szob ba;f‚szerbe;B;IRODALOM
4;Melyik kedves  llatot nevezik bambuszmedv‚nek is?;mal j medve;mos¢medve;koala;panda;D;BIOLàGIA
5;Shakespeare melyik h‹s‚t j tszotta el filmen Leonardo DiCaprio?;Antonius;Hamlet;R¢me¢;Othello;C;FILM
6;Ki alap¡totta a k”nyvritkas gair¢l nevezetes keszthelyi Helikon K”nyvt rat?;Esterh zy K roly;Festetics Gy”rgy;Savoyai Jen‹;Grassalkovich Antal;B;T™RTNELEM
1;Hogy nevezt‚k a b lok n‹i f‹v‚dn”k‚t?;b lnagyi;b lanya;b ltnd‚r;b lkir lyn‚;B;µLTALµNOS
2;Hol tal lhat¢k a b¢j k?;v¡zben;leveg‹ben;f”ld”n;f”ld alatt;A;µLTALµNOS
3;Milyen sz rmaz s£ a h¡res filmrendez‹ Akira Kuroszava?;k¡nai;jap n;mongol;vietn mi;B;FILM
4;Kit sz¢l¡t fel L z r Ervin mesek”nyv‚nek c¡m‚ben arra, hogy j”jj”n haza?;Bruckner Szigfridet;D”md”d”m”t;Mikkamakk t;L¢ Szerafint;C;IRODALOM
5;Melyik v rosunkban l togathat¢ a Fûszerpaprika M£zeum?;Szegeden;Mak¢n;Kalocs n;Gyul n;C;MAGYARORSZµG
6;Milyen  llat a haris?;hal;mad r;rovar;eml‹s;B;BIOLàGIA
7;Mi a neve az osztr k-magyar hat ron tal lhat¢ hegycs£csnak?;Cs¢kak‹;Holl¢k‹;Örott-k‹;Ist ll¢s-k‹;C;F™LDRAJZ
8;Ki nem komikusk‚nt lett a n‚mafilmek szt rja?;Harold Lloyd;Buster Keaton;Rudolph Valentino;Oliver Hardy;C;FILM
9;Kiket neveztek br v¢knak a XVIII. sz zadi It li ban?;arisztokrata tiszteket;a fejedelmek fiait;a b‚rgyilkosokat;a p pa k”veteit;C;T™RTNELEM
10;Hol halt meg Bethlen Istv n kor bbi magyar minisztereln”k?;az Egyeslt µllamokban;Nagy-Britanni ban;Sv jcban;a Szovjetuni¢ban;D;T™RTNELEM
1;Milyen jelz‹t haszn lunk a lop sra hajlamos szem‚lyekre?;ragacsmancs£;csirizesmark£;enyveskezû;m gnestenyerû;C;µLTALµNOS
2;Kik a c¡mszerepl‹i Miksz th mûv‚nek?;a k‚t koldusdi k;a h rom garabonci s;a n‚gy v ndordalnok;a t¡z gubern tor;A;IRODALOM
3;Milyen g¢toknak szok s nevezni egy D ci ban ‚lt keleti germ n t”rzset?;hegyi;mezei;erdei;vizi;D;T™RTNELEM
4;Kit  br zol Fadrusz J nos Kolozsv rott  ll¢ lovas szobra?;Budai Nagy Antalt;D¢zsa Gy”rgy”t;M ty s kir lyt;Szapolyai J nost;C;T™RTNELEM
5;Melyik h¡res filoz¢fus foglalkozott a l‚gnyom s ‚s a hidrodinamika vizsg lat val?;Leibniz;Pascal;D‚mokritosz;Anaxagor sz;B;TUDOMµNY
6;H ny kir ly uralkodott M ty s n‚ven Magyarorsz gon?;egy;kett‹;h rom;n‚gy;B;T™RTNELEM
7;Honnan szerzik legink bb t pl l‚kukat a kolibrik?;f k odv b¢l;m s madarak f‚szk‚b‹l;vir gok kelyh‚b‹l;mocs r iszapj b¢l;C;BIOLàGIA
1;Mit csin ltak a penn val?;¡rtak vele;lovagoltak rajta;v¡vtak vele;fogukhoz vert‚k;A;µLTALµNOS
2;Melyik hangszer elnevez‚se szerepel a l bsz r egyik csontj nak nev‚ben?;dob;furulya;s¡p;fagott;C;µLTALµNOS
3;Mi a rizskoch k”zismert neve?;rizsfelf£jt;rizses h£s;tejberizs;rizibizi;A;KONYHA
4;Melyik v rosunkban tekinthet‹ meg a G rdonyi G‚za Eml‚km£zeum?;K‹szeg;Eger;Szigetv r;Kom rom;B;MAGYARORSZµG
5;"Mi a c¡me a n‚pszerû tini-horrorfilmnek: ""Tudom, mit tett‚l ?""";a j‚gcs k nnyal;tavaly ny ron;id‚n a ballag son;a l ncfûr‚sszel;B;FILM
6;Mir‹l volt nevezetes az ¢korban Delpoi v rosa?; llatv s rair¢l;erk”lcstelens‚g‚r‹l;j¢sd j r¢l;szigor£ nevel‚s‚r‹l;C;T™RTNELEM
7;Kik szerepelnek egy ismert Balzac-reg‚ny c¡m‚ben?;mormol¢k;suttog¢k;huhog¢k;jajong¢k;C;IRODALOM
8;Melyik £sz snemben szerzett n‚gy olimpiai bajnoks got Darnyi Tam s?;gyors£sz sban;pillang¢£sz sban;h t£sz sban;vegyes£sz sban;D;SPORT
9;Mi volt a F”ldet el‹sz”r k”rbeutaz¢ haj¢ neve?;Pinta;Argo;Victoria;Trinidad;C;T™RTNELEM
1;Milyen szobrok d¡szitik a budapesti L nch¡d h¡df‹it?;lovak;v¡zilovak;sasok;oroszl nok;D;µLTALµNOS
2;Mi a galuska m sik elnevez‚se?;makar¢ni;spagetti;nokedli;bukta;C;KONYHA
3;"Kinek vagy minek a ""kapit nya"" szerepel Dargay Attila rajzfilmj‚nek c¡m‚ben?";az erd‹;a Tenkes;a harami k;az Orion ûrhaj¢;A;FILM
4;Kit h¡vtak r‚gen handl‚nak?;a gyepmestert;a h zmestert;az ¢szerest;a tisztiszolg t;C;NYELV
5;Melyik magyar h¡ress‚g neve szerepel helytelenl le¡rva?;Th”k”ly Imre;Sz‚ch‚nyi Ferenc;We”res S ndor;V”r”smarthy Mih ly;D;NYELV
